name,culture,house,male
Ardrian Celtigar,,House Celtigar,1
Areo Hotah,Norvos,House Martell,1
Arianne Martell,Dornishmen,House Martell,0
Armen,,,1
Armond Caswell,,House Caswell,1
Aron Santagar,Dornish,House Santagar,1
Arrec Durrandon,,House Durrandon,1
Arryk,,House Tyrell,1
Arthur Dayne,Dornishmen,House Dayne,1
Arwood Frey,,House Frey,1
Arya Stark,Northmen,House Stark,0
Arys Oakheart,Reach,House Oakheart,1
Asha Greyjoy,Ironborn,House Greyjoy,0
Ashara Dayne,,House Dayne,0
Aurane Waters,Valyrian,House Velaryon,1
Axell Florent,,House Florent,1
Azor Ahai,Asshai,,1
Baelon Targaryen,Valyrian,House Targaryen,0
Baelor Blacktyde,Ironborn,House Blacktyde,1
Baelor I Targaryen,,House Targaryen,1
Balaq,Summer Islander,Golden Company,1
Balman Byrch,,House Byrch,1
Balon Botley,Ironborn,House Botley,1
Balon Greyjoy,,House Greyjoy,1
Balon Swann,Stormlander,House Swann,1
Barbara Bracken,,House Bracken,1
Barra,,House Baratheon,0
Barristan Selmy,Westeros,House Selmy,1
Bella,,,0
Bellegere Otherys,Braavosi,,0
Bellegere Otherys,Braavosi,,0
Bellena Hawick,,House Hawick,0
Bellonara Otherys,Braavosi,,0
Benjen Stark,Northmen,House Stark,1
Bennarion Botley,Ironborn,House Botley,1
Beric Dondarrion,,,1
Beron Blacktyde,,House Blacktyde,0
Beron Stark,Northmen,House Stark,1
Bess Bracken,,House Bracken,1
Beth Cassel,Northmen,House Cassel,0
Bethany Bracken,,House Bracken,0
Bharbo,Dothraki,,0
Biter,,Brave Companions,1
Boremund Harlaw,Ironborn,House Harlaw of Harridan Hill,1
Boros Blount,,House Blount,1
Bran Stark,Northmen,House Stark,1
Brandon Stark,Northmen,House Stark,1
Brandon Stark (son of Cregan),Northmen,House Stark,1
Brella,,House Baratheon,0
Brienne of Tarth,,House Tarth,0
Bronn,,House Stokeworth,1
Brother Ray,,,1
Brynden Rivers,Valyrian,House Targaryen,1
Brynden Tully,Rivermen,House Tully,1
Bump,Free folk,,1
Burton Crakehall,,House Crakehall,1
Byron,,House Baelish,1
Cadwyl,Ironborn,House Greyjoy,1
Caleotte,,House Martell,1
Cassana Estermont,,House Estermont,1
Catelyn Bracken,,House Bracken,1
Catelyn Stark,Rivermen,House Tully,0
Cedric Payne,,House Payne,1
Cersei Lannister,Westerlands,House Lannister,0
Chataya,Summer Isles,Chataya's brothel,0
Chayle,,,1
Chett,,Night's Watch,1
Clarent Crakehall,,House Crakehall,0
Clayton Suggs,,House Suggs,1
Clement Piper,Rivermen,House Piper,1
Cleos Frey,,House Frey,1
Cletus Yronwood,,House Yronwood,1
Cleyton Caswell,,House Caswell,1
Clydas,,Night's Watch,1
Cohollo,Dothraki,Khal,1
Coldhands,,Three-eyed crow,1
Colin Florent,,House Florent,0
Corlys Velaryon,Valyrian,House Velaryon,1
Creighton Longbough,,,1
Cressen,,,1
Cynthea Frey,,House Frey,0
Daario Naharis,Tyroshi,Stormcrows,1
Daegon Shepherd,Ironborn,House Shepherd,0
Daella Targaryen,Valyrian,House Targaryen,0
Daemon Targaryen,Valyrian,House Targaryen,1
Daenerys Targaryen,Valyrian,House Targaryen,0
Daeron II Targaryen,,House Targaryen,1
Daeron Targaryen,,House Targaryen,1
Daeron Targaryen (the Daring),,House Targaryen,1
Dagmer,Ironborn,House Greyjoy,1
Dagon Greyjoy,Ironborn,House Greyjoy,1
Dagon Greyjoy (Drunkard),Ironborn,House Greyjoy,1
Dale Drumm,,House Drumm,0
Damion Lannister,,House Lannister,1
Damon Lannister (lord),Westerman,House Lannister,1
Damon Lannister (son of Jason),Westerman,House Lannister,1
Darlessa Marbrand,,House Marbrand,0
Daughter of the Dusk,Braavosi,,0
Daven Lannister,Westerman,House Lannister,1
Davos Seaworth,Westeros,House Seaworth,1
Delena Florent,,House Florent,0
Denyo Terys,Braavosi,,1
Denys Darklyn,,House Darklyn,1
Denys Drumm,Ironborn,House Drumm,1
Desmond,,House Stark,0
Desmond Grell,,House Grell,1
Devan Seaworth,,House Seaworth,1
Deziel Dalt,,House Dalt,1
Dickon Tarly,,House Tarly,1
Donal Noye,,House Baratheon,1
Donel Greyjoy,Ironborn,House Greyjoy,1
Donnel Drumm,Ironborn,House Drumm,1
Donnel of Duskendale,,Kingsguard,1
Donnel Waynwood,,House Waynwood,0
Donnis,Northmen,House Stark,0
Dontos Hollard,,House Hollard,1
Doran Martell,Dornish,House Nymeros Martell,1
Doreah,Lysene,House Targaryen,0
Dormund,Free Folk,,1
Drogo,Dothraki,,1
Dryn,Free Folk,,1
Dunstan Drumm,Ironborn,House Drumm,1
Durran,,House Durrandon,1
Dykk Harlaw,,House Harlaw,1
Ebrose,,,1
Eddard Karstark,Northmen,House Karstark,1
Eddard Stark,Northmen,House Stark,1
Eddison Tollett,Valemen,House Tollett,1
Edmure Tully,Rivermen,House Tully,1
Edmyn Tully,Rivermen,House Tully,1
Edric Dayne,Dornishmen,House Dayne,1
Edric Storm,,House Baratheon,1
Edwyle Stark,Northmen,House Stark,1
Edwyn Frey,,House Frey,1
Elaena Targaryen,Valyrian,House Targaryen,0
Elder Brother,,Faith of the Seven,1
Eldred Codd,Ironborn,House Codd,1
Eleyna Westerling,,House Westerling,0
Elia Martell,,House Martell,0
Ellaria Sand,Dornish,House Uller,0
Elwood Meadows,Reach,House Meadows,1
Emberlei Frey,,House Frey,0
Emma,,House Arryn,0
Emmon Cuy,,House Cuy,1
Emmon Frey,,House Frey of Riverrun,1
Emmond,Ironborn,Drowned men,1
Ermesande Hayford,,House Hayford,0
Erren Florent,,House Florent,1
Erryk,,House Tyrell,1
Euron Greyjoy,Ironborn,House Greyjoy,1
Falyse Stokeworth,,House Stokeworth,0
Flement Brax,,House Brax,1
Forley Prester,,House Prester,1
Gage,,House Stark,1
Gareth Clifton,,House Clifton,1
Garlan Tyrell,,House Tyrell of Brightwater Keep,1
Garrison Prester,,House Prester,1
Garth Greenfield,Westerman,House Greenfield,1
Gawen Westerling,Westermen,House Westerling,1
Gendry,,brotherhood without banners,1
Genna Lannister,,,0
Gerald Gower,,House Gower,0
Gerion Lannister,,House Lannister,1
Gerold Hightower,,House Hightower,1
Gerold Lannister,Westerman,House Lannister,1
Gevin Harlaw,Ironborn,House Harlaw,1
Gilbert Farring,,House Farring,1
Gilly,Free Folk,,0
Glendon Flowers,,,1
Godry Farring,,House Farring,1
Gormon Peake,,House Peake,1
Gormond Drumm,Ironborn,House Drumm,1
Gormond Goodbrother,Ironborn,House Goodbrother,1
Gorold Goodbrother,Ironborn,House Goodbrother,1
Gran Goodbrother,Ironborn,House Goodbrother,1
Grance Morrigen,,House Morrigen,1
Grand Maester Pycelle,,Maesters,1
Greenbeard,Tyroshi,Brotherhood without banners,1
Gregor Clegane,,House Clegane,1
Grenn,Westeros,Night's Watch,1
Grey King,Ironborn,,1
Grey Worm,,Unsullied,1
Greydon Goodbrother,Ironborn,House Goodbrother,1
Guncer Sunglass,,House Sunglass,1
Gwin Goodbrother,Ironborn,House Goodbrother,0
Gwynesse Harlaw,Ironborn,House Harlaw,0
Gylbert Farwynd,Ironborn,House Farwynd of the Lonely Light,1
Gyles Farwynd,Ironborn,House Farwynd of the Lonely Light,1
Gyles Rosby,,House Rosby,1
Gysella Goodbrother,Ironborn,House Goodbrother,0
Haggo,Dothraki,,1
Haggon,Free Folk,,1
Hallis Mollen,Northmen,House Mollen,1
Hallyne,,Alchemists' Guild,1
Harlon Botley,Ironborn,House Botley,1
Harlon Greyjoy,Ironborn,House Greyjoy,1
Harma,Wildlings,,0
Harmund Sharp,Ironborn,House Sharp,1
Harrag Hoare,Ironborn,House Hoare,1
Harrag Sharp,Ironborn,House Sharp,1
Harras Harlaw,Ironborn,House Harlaw of Grey Garden,1
Harren Botley,Ironborn,House Botley,0
Harren Hoare,Ironborn,House Hoare,1
Harrold Hardyng,Valemen,House Hardyng,1
Harrold Westerling,Westermen,House Westerling,1
Harwin,Northmen,House Stark,1
Harwin Strong,,House Strong,1
Harwyn Hoare,,House Hoare,1
Harys Swyft,,House Swyft,1
Hendry Bracken,,House Bracken,1
Hibald,,House Yronwood,1
High Priestess,Dothraki,,0
High Sparrow,,Faith of the Seven,1
Hilmar Drumm,Ironborn,House Drumm,1
Hobb,,Night's Watch,1
Hobber Redwyne,Reach,House Redwyne,1
Hodor,Northmen,House Stark,1
Hoke,Ghiscari,House of Loraq,1
Holly,Free Folk,,1
Horas Redwyne,Reach,House Redwyne,1
Horton Redfort,Valemen,House Redfort,1
Hosman Norcross,,House Norcross,1
Hosteen Frey,,House Frey,1
Hoster Frey,,House Frey,1
Hoster Tully,Rivermen,House Tully,1
Hot Pie,,,1
Hotho Harlaw,Ironborn,House Harlaw of the Tower of Glimmering,1
Howland Reed,Crannogmen,House Reed,1
Hugh Hammer,,Blacks,1
Hullen,Northmen,House Stark,1
Humfrey,,House Beesbury,1
Humfrey Swyft,,House Swyft,0
Illifer,,,1
Illyrio Mopatis,Pentoshi,House Targaryen,1
Ilyn Payne,Westeros,House Payne,1
Imry Florent,,House Florent,1
Irri,Dothraki,House Targaryen,0
Izembaro,Braavosi,,1
Jacelyn Bywater,,House Bywater,1
Jack Bulwer,,Night's Watch,1
Jaehaerys I Targaryen,,House Targaryen,1
Jaime Lannister,Westerlands,House Lannister,1
Janei Lannister,,House Lannister,0
Janos Slynt,,Night's Watch,1
Jaqen H'ghar,,Faceless Men,1
Jared Frey,,House Frey,1
Jaremy Rykker,,Night's Watch,1
Jason Lannister,,House Lannister,1
Jason Lannister (son of Gerold),,House Lannister,1
Jason Mallister,Riverlands,House Mallister,1
Jayne Bracken,,House Bracken,1
Jeor Mormont,Northmen,House Mormont,1
Jeyne Beesbury,,House Beesbury,0
Jeyne Darry,Westeros,House Darry,0
Jeyne Poole,Northmen,House Poole,0
Jeyne Westerling,Westermen,House Westerling,0
Jeyne Westerling (wife of Maegor I),Westermen,House Westerling,0
Jhiqui,Dothraki,House Targaryen,0
Joanna Lannister,Westerman,House Lannister,0
Joanna Swyft,,House Swyft,0
Jocelyn Swyft,,House Swyft,0
Joffrey Baratheon,,House Baratheon of King's Landing,1
Joffrey Caswell,,House Caswell,1
Jojen Reed,Crannogmen,House Reed,1
Jon Arryn,Valemen,House Arryn,1
Jon Bettley,,House Bettley,1
Jon Brax,,House Brax,0
Jon Bulwer,,House Bulwer,1
Jon Connington,Stormlands,House Connington,1
Jon Myre,Ironborn,House Myre,1
Jon Redfort,Valemen,House Redfort,0
Jon Snow,Northmen,House Stark,1
Jonos Bracken,,House Bracken,1
Jonos Frey,,House Frey,0
Jonothor Darry,,House Darry,1
Jorah Mormont,Northmen,House Mormont,1
Jorquen,,Night's Watch,1
Jory Cassel,Northmen,House Cassel,1
Joseran,,,0
Joy Hill,,House Lannister,0
Kaeth,,,1
Karyl Vance,,House Vance of Wayfarer's Rest,1
Kedge,,Night's Watch,1
Kella,,House Baelish,0
Kevan Lannister,,House Lannister,1
Khal Drogo,Dothraki,,1
Kindly Man,Braavosi,Faceless Men,1
Lady Crane,Braavosi,,0
Laenor Velaryon,Valyrian,House Velaryon,1
Lambert Turnberry,,House Turnberry,1
Lancel Lannister,,House Lannister of Casterly Rock,1
Lanna Lannister,,House Lannister,0
Larence Snow,Northmen,House Hornwood,1
Larys Strong,,House Strong,1
Leana Frey,,House Frey,0
Lenwood Tawney,Ironborn,House Tawney,1
Leo Tyrell (son of Moryn),Reach,House Tyrell,1
Leo Tyrell (son of Victor),Reach,House Tyrell,1
Leonella Lefford,,House Lefford,0
Leonette Fossoway,,House Fossoway,0
Leslyn Haigh,,House Haigh,1
Lester,,House Florent,1
Lew,,Night's Watch,1
Lewyn Martell,Dornish,House Martell,1
Lewys Lydden,,House Lydden,0
Lewys Piper,Rivermen,House Piper,1
Lollys Stokeworth,,House Stokeworth,0
Loras Tyrell,Reach,House Tyrell,1
Lord Commander Hoare,,House Hoare,1
Lord Commander Qorgyle,,House Qorgyle,1
Lorent Lorch,,House Lorch,0
Lorimer,,House Lefford,1
Lothar Frey,Rivermen,House Frey,1
Lothor Brune,,House Brune of Brownhollow,1
Lucamore Strong,,House Strong,1
Lucas Blackwood,,House Blackwood,1
Lucas Codd,Ironborn,House Codd,1
Lucas Corbray,,House Corbray,0
Lucimore Botley,Ironborn,House Botley,0
Lucion Lannister,,House Lannister,0
Luwin,Westeros,House Stark,1
Lyanna Stark,Northmen,House Stark,1
Lyle Crakehall,,House Crakehall,1
Lyman Darry,,House Darry,0
Lymond Vikary,,House Vikary,1
Lyn Corbray,,House Corbray,1
Lyonel Baratheon,,House Baratheon,1
Lyonel Corbray,,House Corbray,1
Lyonel Frey,,House Frey of Riverrun,0
Lyonel Selmy,,House Selmy,1
Lyonel Strong,,House Strong,1
Lysa Arryn,,House Tully,0
Mace Tyrell,,House Tyrell,1
Mad Huntsman,,Brotherhood without banners,1
Maege Mormont,Northmen,House Mormont,0
Maelor Targaryen,,House Targaryen,1
Maelys Blackfyre,Valyrian,House Blackfyre,1
Maester Aemon,Valyrian,Night's Watch,1
Maester Luwin,,House Stark,1
Mance Rayder,Free folk,,1
Mandon Moore,Valemen,House Moore,1
Manfred Swann,,House Swann,0
Manfrey Martell,Dornishmen,House Martell,0
Manfryd Yew,,House Yew,0
Margaery Tyrell,Reach,House Tyrell,0
Marghaz zo Loraq,Ghiscari,House of Loraq,1
Margot Lannister,,House Lannister,0
Marillion,,,1
Mariya Darry,,House Darry,0
Marlon Manderly,,House Manderly,1
Maron Botley,,House Botley,1
Maron Greyjoy,Ironborn,House Greyjoy,1
Maron Volmark,Ironborn,House Volmark,1
Marq Piper,Rivermen,House Piper,1
Martyn Lannister,,House Lannister,1
Meera Reed,Crannogmen,House Reed,0
Meha,Free Folk,,0
Melara Crane,,House Crane,0
Meldred Merlyn,Ironborn,House Merlyn,1
Melesa Crakehall,,House Crakehall,0
Melessa Florent,,House Florent,0
Melisandre,Asshai,R'hllor,0
Melissa Blackwood,,House Blackwood,0
Melwyn Sarsfield,,House Sarsfield,1
Meribald,,Faith of the Seven,1
Merlon Crakehall,,House Crakehall,1
Merrell Florent,,House Florent,1
Merrett Frey,Riverlands,House Frey,1
Meryn Trant,,House Trant,1
Mikken,Northmen,House Stark,1
Mina Tyrell,,House Tyrell,0
Mirri Maz Duur,Lhazareen,,0
Missandei,Naathi,House Targaryen,0
Mollander,,,1
Mord,,House Arryn,1
Mordane,,House Stark,0
Morgarth,,House Baelish,1
Moro,Dothraki,,1
Morrec,,House Lannister,1
Morros Slynt,,House Slynt,1
Mors Martell,Dornish,House Martell,0
Morya Frey,,House Frey,0
Mullin,,Night's Watch,1
Mully,,Night's Watch,1
Munda,Free Folk,,1
Murenmure,,,1
Mya Stone,,House Royce of the Gates of the Moon,0
Mycah,Westeros,,1
Mychel Redfort,Valemen,House Redfort,1
Myles,,House Martell,1
Myles Mooton,,House Mooton,1
Myrcella Baratheon,,House Baratheon of King's Landing,0
Mysaria,Lysene,,0
Naerys Targaryen,Valyrian,House Targaryen,0
Norbert Vance,,House Vance of Atranta,1
Norjen,Ironmen,Drowned men,1
Normund,,,1
Norne Goodbrother,Ironborn,House Goodbrother of Shatterstone,0
Norren,,,1
Nym Sand,Dornishmen,House Martell,0
Nymeria,Rhoynar,House Martell,0
Obara Sand,Dornish,House Martell,0
Oberyn Martell,Dornishmen,House Martell,1
Olenna Tyrell,Andal,House Tyrell,0
Olyvar Frey,,House Frey,1
Omer Blackberry,,House Blackberry,0
Omer Florent,,,0
Ondrew Locke,Northmen,House Locke,1
Orbert Caswell,,House Caswell,1
Orell,Northmen,House Mormont,0
Ormond Westerling,,House Westerling,1
Osfryd Kettleblack,,House Kettleblack,1
Osha,Free folk,House Stark,0
Osmund Kettleblack,,House Kettleblack,1
Osney Kettleblack,,House Kettleblack,1
Oswell Whent,Rivermen,House Whent,1
Oswyn,,Kingswood Brotherhood,0
Otho Bracken,,House Bracken,1
Oznak zo Pahl,Meereen,House of Pahl,1
Patchface,,House Baratheon of Dragonstone,1
Pate,,House Baratheon of King's Landing,1
Patrek Mallister,,House Mallister,1
Paxter Redwyne,,House Redwyne,1
Penny Jenny,,,0
Perriane Frey,,House Haigh,0
Petyr Baelish,Valemen,House Baelish,1
Podrick Payne,,House Payne,1
Polliver,,House Clegane,1
Preston Greenfield,Westermen,House Greenfield,1
Puckens,,House Lannister,1
Pyat Pree,,Undying Ones,0
Pycelle,,House Lannister,1
Pyg,,Brave Companions,1
Pypar,,Night's Watch,1
Qalen,,House Greyjoy,1
Qarl Kenning,Ironborn,House Kenning of Harlaw,0
Qarl Shepherd,Ironborn,House Shepherd,0
Qhorin,,Night's Watch,1
Qotho,Dothraki,,1
Quaithe,Asshai'i,,0
Quellon Botley,Ironborn,House Botley,1
Quellon Greyjoy,Ironborn,House Greyjoy,1
Quellon Humble,Ironborn,House Humble,1
Quenten Banefort,,House Banefort,1
Quenton Greyjoy,Ironborn,House Greyjoy,1
Quenton Greyjoy (cousin),Ironborn,House Greyjoy,1
Quentyn Ball,,House Ball,1
Quentyn Blackwood,,House Blackwood,1
Quentyn Martell,Dornishmen,House Martell,1
Quincy Cox,,House Cox,1
Qyburn,,House Lannister,1
Ralf Kenning,Ironborn,House Kenning of Harlaw,1
Ralf Stonehouse,Ironborn,House Stonehouse,1
Ramsay Snow,Northmen,House Bolton of the Dreadfort,1
Randyll Tarly,,House Tarly,1
Raymun Darry,,House Darry,1
Raynald Westerling,,House Westerling,1
Raynard Ruttiger,,House Ruttiger,0
Red Oarsman,Ironborn,,1
Regenard Estren,,House Estren,1
Renfred Rykker,,House Rykker,1
Renly Baratheon,Stormlands,House Baratheon,1
Renly Norcross,,House Norcross,1
Rennifer Longwaters,,House Longwaters,1
Rhaegar Frey,,House Frey,1
Rhaegar Targaryen,Valyrian,House Targaryen,1
Rhaego,,House Targaryen,1
Rhaella Targaryen,Valyrian,House Targaryen,1
Rhaelle Targaryen,,House Targaryen,0
Rhea Florent,,House Florent,0
Rhea Royce,,House Royce,0
Rhogoro,Dothraki,,1
Ricasso,,House Martell,0
Rickard Karstark,Northmen,House Karstark,1
Rickard Stark,Northmen,House Stark,1
Rickard Stark (king),Northmen,House Stark,1
Rickard Thorne,,House Thorne,1
Rickon Stark,Northmen,House Stark,1
Robar Royce,Valemen,House Royce,1
Robb Reyne,,House Reyne,1
Robb Stark,,House Stark,1
Robert Arryn,Valemen,House Arryn,1
Robert Baratheon,,House Baratheon of King's Landing,1
Robert Brax,,House Brax,0
Robert Brax (son of Flement),,House Brax,0
Robert Frey (son of Rhaegar),,House Frey,0
Robin Arryn,Andal,House Arryn,1
Robin Greyjoy,Ironborn,House Greyjoy,1
Robin Ryger,,House Ryger,1
Rodrik Cassel,Northmen,House Cassel,1
Rodrik Greyjoy,Ironborn,House Greyjoy,1
Rodrik Harlaw,Ironborn,House Harlaw,1
Rodwell Stark,Northmen,House Stark,1
Roger of Pennytree,,,1
Rohanne Webber,,House Webber,0
Roland Crakehall,,House Crakehall,1
Roland Crakehall (Kingsguard),,House Crakehall,1
Rolder,,House Lannister,1
Rollam Westerling,,House Westerling,1
Rolland Darklyn,,House Darklyn,1
Rolland Longthorpe,,House Longthorpe,0
Rolly Duckfield,,House Targaryen,1
Rolph Spicer,,House Spicer,1
Romny Weaver,Ironborn,House Weaver,1
Roone,,,1
Roose Bolton,Northmen,House Bolton,1
Rorge,,Brave Companions,1
Roryn Drumm,Ironborn,House Drumm,0
Ros,,House Penrose,0
Rosamund Lannister,,House Lannister of Lannisport,0
Rosey,,,0
Rufus Leek,,House Leek,0
Rupert Brax,,House Brax,1
Rus,Braavosi,,1
Ryam Florent,,House Florent,1
Rycherd Crane,,House Crane,0
Ryella Frey,,House Frey,0
Ryella Royce,,House Royce,0
Ryk,,House Tyrell,1
Rylene Florent,,House Florent,0
Ryman Frey,,House Frey,1
Rymolf,Ironborn,House Greyjoy,0
Salladhor Saan,Lysene,House Baratheon of Dragonstone,1
Samwell Spicer,,House Spicer,1
Samwell Tarly,Westeros,Night's Watch,1
Sandor Clegane,,House Clegane,1
Sansa Stark,Northmen,House Stark,0
Sargon Botley,Ironborn,House Botley,1
Sawane Botley,Ironborn,House Botley,1
Scarb,,,1
Sebaston Farman,Westerman,House Farman,1
Selmond Stackspear,,House Stackspear,0
Selwyn Tarth,,House Tarth,1
Selyse Florent,,House Florent,0
Senelle,,House Lannister,1
Serra,Lysene,,0
Shae,,,0
Shagwell,,Brave Companions,1
Shella Whent,Rivermen,House Whent,0
Shiera Crakehall,,House Crakehall,0
Shiera Seastar,Westeros,House Targaryen,0
Shierle Swyft,,House Swyft,0
Shireen Baratheon,,House Baratheon of Dragonstone,0
Shortear,westermen,House Lannister,1
Sigfry Stonetree,Ironborn,House Stonetree,1
Sigfryd Harlaw,Ironborn,House Harlaw of Harlaw Hall,1
Simon Toyne,,House Toyne,0
Skahaz mo Kandaq,Ghiscari,House of Kandaq,1
Small Paul,,Night's Watch,1
Smiling Knight,,Kingswood Brotherhood,1
Spotted Pate,,Night's Watch,1
Stafford Lannister,Westerman,House Lannister,1
Stannis Baratheon,,House Baratheon of Dragonstone,1
Steffarion Sparr,Ironborn,House Sparr,1
Steffon Baratheon,,House Baratheon,1
Steffon Stackspear,,House Stackspear,1
Steffon Swyft,,House Swyft,1
Stevron Frey,,House Frey,1
Sumner Crakehall,,House Crakehall,1
Sybell Spicer,,House Spicer,0
Sylas Flatnose,Ironborn,,1
Sylwa Paege,,House Paege,0
Symond Botley,Ironborn,House Botley,1
Symond Frey,,House Frey,1
Symond Templeton,,House Templeton,1
Syrio Forel,Braavosi,House Stark,0
Talisa Stark,Volantenes,House Stark,0
Tanda Stokeworth,,House Stokeworth,0
Tarle,Ironborn,Drowned men,1
Ternesio Terys,Braavosi,,1
Tess,Braavosi,,0
Theomore,,House Manderly,1
Theomore Harlaw,,House Harlaw,1
Theon Greyjoy,Ironmen,House Greyjoy,1
Thoros of Myr,Myr,Brotherhood without banners,1
Timeon,Dornish,Brave Companions,1
Tion Frey,,,1
Titus Peake,,House Peake,1
Tobho Mott,Qohor,,1
Todric,,,1
Tom Costayne,,House Costayne,0
Tom of Sevenstreams,,Brotherhood without banners,1
Tommen Baratheon,,,1
Tommen Costayne,,House Costayne,0
Tormund,Free Folk,,1
Torwynd,Free Folk,,1
Tristifer Botley,Ironborn,House Botley,1
Triston Farwynd,Ironborn,House Farwynd,0
Triston of Tally Hill,,House Sunglass,1
Trystane Martell,Dornish,House Martell,1
Turnip,northmen,House Stark,0
Tyana Wylde,,House Wylde,0
Tybolt Crakehall,,House Crakehall,1
Tybolt Lannister,Westerman,House Lannister,1
Tyene Sand,Dornish,House Martell,0
Tygett Lannister,,House Lannister,1
Tyrek Lannister,,House Lannister,1
Tyrion Lannister,,House Lannister,1
Tysane Frey,,House Frey,0
Tysha,,,1
Tytos Blackwood,,House Blackwood,1
Tytos Brax,,House Brax,1
Tytos Lannister,,House Lannister,1
Tywin Frey,,House Frey,1
Tywin Lannister,,House Lannister,1
Ulf the White,,Blacks,1
Umfred,,House Baelish,0
Umma,,Faceless Men,0
Urrigon Greyjoy,Ironborn,House Greyjoy,1
Urron Greyiron,Ironborn,House Greyiron,1
Urswyck,,Brave Companions,1
Utherydes Wayn,,House Wayn,0
Utt,,House Butterwell,1
Vaellyn,,,1
Valaena Velaryon,Valyrian,House Velaryon,0
Varamyr,Free Folk,,1
Vardis Egen,Valemen,House Egen,1
Vargo Hoat,Qohori,Brave Companions,1
Varys,,,1
Vayon Poole,,House Poole,1
Vickon Botley,Ironborn,House Botley,1
Victaria Tyrell,,House Tyrell,0
Victarion Greyjoy,Ironborn,House Greyjoy,1
Victor Tyrell,,House Tyrell,0
Visenya Targaryen,Valyrian,House Targaryen,0
Viserys II Targaryen,,House Targaryen,1
Viserys Targaryen,Valyrian,House Targaryen,1
Vortimer Crane,,House Crane,0
Waif,Braavos,Faceless Men,0
Walda Frey (daughter of Lothar),,House Frey,0
Walda Frey (daughter of Merrett),,House Frey,0
Walda Frey (daughter of Rhaegar),,House Frey,0
Walder Brax,,House Brax,0
Walder Frey,Rivermen,House Frey,1
Walder Frey (Black),Rivermen,House Frey,1
Walder Frey (son of Emmon),Rivermen,House Frey,1
Walder Frey (son of Jammos),Rivermen,House Frey,1
Walder Frey (son of Merrett),Rivermen,House Frey,1
Walder Haigh,,House Haigh,0
Walder Rivers,Rivermen,House Frey,1
Waldon Wynch,Ironborn,House Wynch,1
Walgrave,,Maesters,1
Waymar Royce,Valemen,House Royce,1
Wayn,,House Waynwood,0
Wendamyr,,House Greyjoy,1
Wendel Manderly,,House Manderly,1
Wex Pyke,Ironborn,House Botley,1
Whalen Frey,,House Frey,1
Will,,House Willum,1
Will Humble,Ironborn,House Humble,1
Willas Tyrell,,House Tyrell,1
Willem Darry,,House Darry,1
Willem Frey,,House Frey,1
Willem Lannister,,House Lannister,1
William Mooton,,House Mooton,1
Willis Wode,,House Wode,1
Wylis Manderly,,House Manderly,1
Wylla,,House Dayne,1
Wyman Manderly,,House Manderly,1
Wynafryd Manderly,,House Manderly,0
Xaro Xhoan Daxos,Qartheen,Thirteen,1
Yandry,,House Targaryen,1
Yara Greyjoy,Ironborn,House Greyjoy,0
Ygon Farwynd,,House Farwynd of the Lonely Light,1
Ygritte,Wildling,Mance Rayder,0
Yohn Farwynd,Ironborn,House Farwynd of the Lonely Light,1
Yohn Royce,Valemen,House Royce,1
Yoren,Westeros,Night's Watch,1
Yorko Terys,Braavosi,,1
Ysilla,,,0
Ysilla Royce,Valemen,House Royce,1
